Nombre,Apellido,Edad,Email,Telefono
Juan,García,27,juan.garcía@ejemplo.com,555-0122-5544
María,Martínez,21,maría.martínez@ejemplo.com,555-0169-8356
Pedro,López,28,pedro.lópez@ejemplo.com,555-0162-2428
Laura,Pérez,37,laura.pérez@ejemplo.com,555-0177-8292
Carlos,González,23,carlos.gonzález@ejemplo.com,555-0172-4179
Ana,Rodríguez,27,ana.rodríguez@ejemplo.com,555-0156-3966
Luis,Sánchez,38,luis.sánchez@ejemplo.com,555-0178-2277
Sofía,Ramírez,43,sofía.ramírez@ejemplo.com,555-0125-6823
Miguel,Flores,38,miguel.flores@ejemplo.com,555-0184-3845
Elena,Vega,26,elena.vega@ejemplo.com,555-0124-3536
José,Díaz,38,josé.díaz@ejemplo.com,555-0128-4266
Lucía,Moreno,45,lucía.moreno@ejemplo.com,555-0112-7187
Fernando,Suárez,45,fernando.suárez@ejemplo.com,555-0159-9181
Camila,Ortiz,19,camila.ortiz@ejemplo.com,555-0187-2072
Ricardo,Jiménez,50,ricardo.jiménez@ejemplo.com,555-0139-6756
Paula,Méndez,44,paula.méndez@ejemplo.com,555-0119-9714
Diego,Ruiz,38,diego.ruiz@ejemplo.com,555-0111-1147
Valeria,Silva,37,valeria.silva@ejemplo.com,555-0176-6552
Javier,Ramos,48,javier.ramos@ejemplo.com,555-0151-5561
Isabel,Vargas,53,isabel.vargas@ejemplo.com,555-0175-9523
